NCM;NO_SH4_POR;NO_SH4_POR_EDITADO
3910;Silicones, em formas primárias;Silicones
3824;"Aglutinantes preparados para moldes ou para núcleos de fundição; produtos químicos e preparações das indústrias químicas ou das indústrias conexas (incluídos os constituídos por misturas de produtos naturais), não especificados nem compreendidos noutras p";Aglutinantes preparados para moldes ou n�cleos de fundi��o
3002;"Sangue humano; sangue animal preparado para usos terapêuticos, profilácticos ou de diagnóstico; anti-soros, outras fracções do sangue, produtos imunológicos modificados, mesmo obtidos por via biotecnológica; vacinas, toxinas, culturas de microrganismos (e";Sangue humano e animal para uso terapeutico
2941;Antibióticos;Antibi�ticos
8433;"Máquinas e aparelhos para colheita ou debulha de produtos agrícolas, incluídas as enfardadeiras de palha ou forragem; cortadores de relva e ceifeiras; máquinas para limpar e seleccionar ovos, frutas ou outros produtos agrícolas, exceto as da posição 8437";M�quinas para colheita de produtos agr�colas
1520;"Glicerol em bruto; águas e lixívias, glicéricas";Glicerol bruto
7318;Parafusos, pernos ou pinos, roscados, porcas, tira-fundos, ganchos roscados, rebites, chavetas, cavilhas, contrapinos ou troços, anilhas ou arruelas (incluídas as de pressão) e artefactos semelhantes, de ferro fundido, ferro ou aço;Parafusos, pinos, porcas, entre outros
8436;Outras máquinas e aparelhos para agricultura, horticultura, silvicultura, avicultura ou apicultura, incluídos os germinadores equipados com dispositivos mecânicos ou térmicos e as chocadeiras e criadeiras para avicultura;M�quinas e aparelhos de agricultura
9028;Contadores de gases, de líquidos ou de electricidade, incluídos os aparelhos para a sua aferição;Controladores de gases
1905;"Produtos de padaria, pastelaria ou da indústria de bolachas e biscoitos, mesmo adicionados de cacau; hóstias, cápsulas vazias para medicamentos, obreias, pastas secas de farinha, amido ou fécula em folhas e produtos semelhantes";Produtos de padaria, pastelaria ou da ind�tria de bolachas e biscoitos
2811;Outros ácidos inorgânicos e outros compostos oxigenados inorgânicos dos elementos não metálicos;Outros �cidos inorg�nicos e outros compostos oxigenados inorg�nicos dos elementos n�o met�licos
2207;"Álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior a 80 % vol; álcool etílico e aguardentes, desnaturados, com qualquer teor alcoólico";�lcool et�lico n�o desnaturado
9026;Instrumentos e aparelhos para medida ou controlo do caudal (vazão), do nível, da pressão ou de outras características variáveis dos líquidos ou gases (por exemplo: medidores de caudal, indicadores de nível, manómetros, contadores de calor), exceto os ins;Aparelhos para medida de vaz�o
8542;Circuitos integrados e microconjuntos electrónicos;Circuitos eletr�nicos
3907;"Poliacetais, outros poliéteres e resinas epóxidas, em formas primárias; policarbonatos, resinas alquídicas, poliésteres alílicos e outros poliésteres, em formas primárias";Poliacetais
8473;Partes e acessórios (exceto estojos, capas e semelhantes), reconhecíveis como exclusiva ou principalmente destinados às máquinas e aparelhos das posições 8469 a 8472;Partes de m�quinas de escrever
8466;Partes e acessórios reconhecíveis como exclusiva ou principalmente destinados às máquinas das posições 8456 a 8465, incluídos os porta-peças e porta-ferramentas, as fieiras de abertura automática, os dispositivos divisores e outros dispositivos especiais,;Portas-pe�as para m�quinas e ferramentas
3307;Preparações para barbear (antes, durante ou após), desodorizantes corporais, preparações para banhos, depilatórios, outros produtos de perfumaria ou de toucador preparados e outras preparações cosméticas, não especificados nem compreendidos em outras posi;Prepara��es para barbear
8517;"Aparelhos elétricos para telefonia ou telegrafia por fios, incluídos os aparelhos telefónicos por fio combinados com auscultadores sem fio e os aparelhos de telecomunicação por corrente portadora ou de telecomunicação digital; videofones";Aparelhos telef�nicos
9403;Outros móveis e suas partes;Outros m�veis e suas partes
5201;Algodão, não cardado nem penteado;Algod�o
3503;"Gelatinas e seus derivados; ictiocola e outras colas de origem animal, exceto cola de caseína";Gelatinas e seus derivados
3920;Outras chapas, folhas, películas, tiras e lâminas, de plástico não alveolar, não reforçadas nem estratificadas, sem suporte, nem associadas a outras matérias;Chapas de pol�meros de etileno
3919;Chapas, folhas, tiras, fitas, películas e outras formas planas, auto-adesivas, de plástico, mesmo em rolos;Chapas de pl�stico
3204;"Matérias corantes orgânicas sintéticas, mesmo de constituição química definida; preparações indicadas na Nota 3 do presente capítulo, à base de matérias corantes orgânicas sintéticas; produtos orgânicos sintéticos dos tipos utilizados como agentes de aviv";Corantes org�nicos-sint�ticos
3906;Polímeros acrílicos, em formas primárias;Pol�meros acr�licos
2843;"Metais preciosos no estado coloidal; compostos inorgânicos ou orgânicos de metais preciosos, de constituição química definida ou não; amálgamas de metais preciosos";Metais preciosos
3926;Outras obras de plástico e obras de outras matérias das posições 3901 a 3914;Artigos de escrit�rio
804;Tâmaras, figos, ananases (abacaxis), abacates, goiabas, mangas e mangostões, frescos ou secos;T�maras frescas ou secas
3823;"Ácidos gordos monocarboxílicos industriais; óleos ácidos de refinação; alcoóis gordos industriais";�cido este�rico
4016;Outras obras de borracha vulcanizada não endurecida;Obras de borracha vulcanizada
8471;"Máquinas automáticas para processamento de dados e suas unidades; leitores magnéticos ou ópticos, máquinas para registar dados em suporte sob forma codificada, e máquinas para processamento desses dados, não especificadas nem compreendidas em outras posiç";M�quinas para processamento de dados
8512;Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de pára-brisas, degeladores e desembaciadores elétricos, dos tipos utilizados em ciclos e automóveis;Aparelhos de ilumina��o em bicicletas
3815;Iniciadores de reacção, aceleradores de reacção e preparações catalíticas, não especificados nem compreendidos em outras posições;Catalisador em suprote
7320;Molas e folhas de molas, de ferro ou aço;Molas de ferro
2106;Preparações alimentícias não especificadas nem compreendidas noutras posições;Concentrados de prote�na
8419;Aparelhos e dispositivos, mesmo aquecidos electricamente (exceto fornos e outros aparelhos da posição 8514), para tratamento de matérias por meio de operações que impliquem mudança de temperatura, tais como o aquecimento, cozimento, torrefacção, destilaç;Aquecedores de �gua
9018;Instrumentos e aparelhos para medicina, cirurgia, odontologia e veterinária, incluídos os aparelhos de cintilografia e outros aparelhos electromédicos, bem como os aparelhos para testes visuais;Eletrocardi�grafos
7009;Espelhos de vidro, mesmo emoldurados, incluídos os espelhos retrovisores;Espelhos de vidro
3214;"Mástique de vidraceiro, cimentos de resina e outros mástiques; indutos utilizados em pintura; indutos não refractários do tipo dos utilizados em alvenaria";M�stique de vidraceiros
8482;Rolamentos de esferas, de roletes ou de agulhas;Rolamentos de esferas
3811;Preparações antidetonantes, inibidores de oxidação, aditivos peptizantes, beneficiadores de viscosidade, aditivos anticorrosivos e outros aditivos preparados, para óleos minerais (incluída a gasolina) ou para outros líquidos utilizados para os mesmos fins;Prepara��es antidetonantes
3809;Agentes de apresto ou de acabamento, aceleradores de tingimento ou de fixação de matérias corantes e outros produtos e preparações (por exemplo: aprestos preparados e preparações mordentes) dos tipos utilizados na indústria têxtil, na indústria do papel, ;Agentes de acabamento
7309;Reservatórios, tonéis, cubas e recipientes semelhantes, de ferro fundido, ferro ou aço, de capacidade > 300 litros, sem dispositivos mecânicos nem térmicos;Reservat�rios de ferro
7312;Cordas, cabos, entrançados, lingas e artefactos semelhantes, de ferro ou aço, não isolados para usos elétricos;Cabos de ferro
8543;Máquinas e aparelhos, elétricos, com função própria, não especificados nem compreendidos em outras posições do presente capítulo;M�quinas e aparelhos com fun��o pr�pria
8458;Tornos (incluídos os centros de torneamento), para metais;Tornos para metais
8537;Quadros, painéis, consolas, cabinas, armários e outros suportes, com dois ou mais aparelhos das posições 8535 ou 8536, para comando eléctrico ou distribuição de energia eléctrica, incluídos os que incorporem instrumentos ou aparelhos do Capítulo 90, assim;Quadros para ditribui��o de energia el�trica
1704;Produtos de confeitaria sem cacau (incluído o chocolate branco);Produtos de confeitaria sem cacau
8479;Máquinas e aparelhos, mecânicos, com função própria, não especificados nem compreendidos em outras posições deste capítulo;M�quinas com fun��o pr�pria
8431;Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas e aparelhos das posições 8425 a 8430;Partes de motores el�tricos
