"";"Pais";"Imp. 22";"Participação Imp. 22";"Var. 21/22"
"103";"Macedônia";0,23;1e-04;33,247
"104";"Madagascar";0,58;1e-04;0,0435
"105";"Malásia";35,09;0,009;0,0906
"106";"Mali";NA;NA;NA
"107";"Malta";0,72;2e-04;-0,0742
"108";"Marrocos";0,52;1e-04;-0,9348
"109";"Marshall, Ilhas";0;0;NA
"110";"Maurício";0,05;0;-0,6359
"111";"México";86,55;0,0221;0,0042
"112";"Moldávia";0;0;-0,8134
"113";"Mônaco";0;0;6,3826
"114";"Mongólia";NA;NA;NA
"115";"Moçambique";0;0;NA
"116";"Namíbia";0;0;-0,1692
"117";"Nepal";0;0;NA
"118";"Nicarágua";0;0;NA
"119";"Níger";0,02;0;867,48
"120";"Nigéria";0,03;0;-0,9718
"121";"Noruega";14,77;0,0038;0,3474
"122";"Nova Caledônia";NA;NA;NA
"123";"Nova Zelândia";1,17;3e-04;0,7997
"124";"Omã";0;0;NA
"125";"Pacífico, Ilhas do (EUA)";NA;NA;NA
"126";"Países Baixos (Holanda)";26,01;0,0067;0,1905
"127";"Paquistão";2,48;6e-04;1,3897
"128";"Panamá";0,01;0;3,8587
"129";"Paraguai";4,54;0,0012;2,3759
"130";"Peru";5,2;0,0013;-0,221
"131";"Polinésia Francesa";0;0;NA
"132";"Polônia";23,41;0,006;0,2034
"133";"Portugal";7,23;0,0018;0,2215
"134";"Porto Rico";7,48;0,0019;2,1179
"135";"Quênia";0,16;0;21,2184
"136";"Quirguistão";NA;NA;NA
"137";"Reino Unido";33,62;0,0086;-0,35
"138";"República Centro-Africana";0,06;0;89,2547
"139";"República Dominicana";0,02;0;-0,7502
"140";"Reunião";0;0;Inf
"141";"Zimbábue";0;0;-1
"142";"Romênia";4,35;0,0011;-0,1468
"143";"Rússia";31,24;0,008;0,3797
"144";"El Salvador";0,03;0;-0,5702
"145";"Samoa";0;0;NA
"146";"Samoa Americana";0;0;NA
"147";"São Cristóvão e Névis";0;0;NA
"148";"San Marino";0,01;0;Inf
"149";"São Martinho, Ilha de (parte francesa)";0;0;NA
"150";"Sint Maarten";0;0;NA
"151";"São Tomé e Príncipe";NA;NA;NA
"152";"Senegal";NA;NA;NA
"153";"Serra Leoa";0;0;159,6
"154";"Sérvia";2,14;5e-04;2,0684
"155";"Cingapura";21,69;0,0055;-0,2478
"156";"Síria";NA;NA;NA
"157";"Sri Lanka";0,29;1e-04;0,0721
"158";"África do Sul";2,04;5e-04;-0,91
"159";"Sudão";0;0;NA
"160";"Suécia";15,45;0,004;-0,2107
"161";"Suíça";81,23;0,0208;0,0554
"162";"Suriname";0;0;NA
"163";"Tailândia";65,65;0,0168;-0,0882
"164";"Tanzânia";0;0;NA
"165";"Terras Austrais Francesas";NA;NA;NA
"166";"Território Britânico do Oceano Índico";0;0;NA
"167";"Tcheca, República";11,07;0,0028;-0,0293
"168";"Timor Leste";0;0;NA
"169";"Togo";NA;NA;NA
"170";"Toquelau";0;0;NA
"171";"Trinidad e Tobago";0;0;-0,9932
"172";"Tunísia";0,24;1e-04;0,194
"173";"Turquia";11,09;0,0028;-0,1298
"174";"Ucrânia";0,41;1e-04;-0,9503
"175";"Uganda";0;0;NA
"176";"Uruguai";9,79;0,0025;0,1009
"177";"Uzbequistão";0;0;NA
"178";"Vaticano";NA;NA;NA
"179";"Venezuela";0;0;1,2963
"180";"Vietnã";181,9;0,0465;0,3573
"181";"Virgens, Ilhas (Britânicas)";0,01;0;NA
"182";"Virgens, Ilhas (Americanas)";0;0;NA
"183";"Fiji";NA;NA;NA
"184";"Congo, República Democrática";0;0;NA
"185";"Organizações Internacionais";NA;NA;NA
